This file was created by CMPT_ME_BEME_RETS_DAILY using the 202003 CRSP database.,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,
,,,,
,Mkt-RF,SMB,HML,RF
20190910,0.17,1.03,1.22,0.009
20190911,0.88,1.32,-0.01,0.009
20190912,0.22,-0.28,-0.22,0.009
20190913,-0.01,0.01,0.76,0.009
20190916,-0.23,0.94,0.5,0.009
20190917,0.17,-0.6,-1.23,0.009
20190918,-0.05,-0.73,0.02,0.009
20190919,-0.05,-0.43,-0.46,0.009
20190920,-0.48,0.31,0.14,0.009
20190923,-0.02,-0.18,0.52,0.009
20190924,-1.01,-0.73,-0.02,0.009
20190925,0.69,0.36,0.56,0.009
20190926,-0.41,-0.96,0.11,0.009
20190927,-0.62,-0.35,0.88,0.009
20190930,0.5,-0.14,-0.49,0.009
20191001,-1.31,-0.46,-0.62,0.007
20191002,-1.73,0.87,-0.4,0.007
20191003,0.8,-0.22,-0.91,0.007
20191004,1.39,-0.49,-0.1,0.007
20191007,-0.41,0.17,-0.06,0.007
20191008,-1.61,-0.14,-0.1,0.007
20191009,0.92,-0.53,-0.1,0.007
20191010,0.6,-0.4,0.29,0.007
20191011,1.23,0.48,0.21,0.007
20191014,-0.18,-0.33,-0.05,0.007
20191015,1.03,0.25,-0.24,0.007
20191016,-0.24,0.41,0.19,0.007
20191017,0.37,0.8,-0.28,0.007
20191018,-0.49,-0.38,0.89,0.007
20191021,0.71,0.17,0.34,0.007
20191022,-0.34,0.22,0.91,0.007
20191023,0.25,-0.09,0.24,0.007
20191024,0.25,-0.25,-0.92,0.007
20191025,0.5,0.28,0.12,0.007
20191028,0.62,0.25,-0.22,0.007
20191029,-0.13,0.29,0.42,0.007
20191030,0.27,-0.38,-1.2,0.007
20191031,-0.38,-0.26,-0.41,0.007
20191101,1.08,0.44,0.85,0.006
20191104,0.4,0.03,1.46,0.006
20191105,-0.03,0.26,0.48,0.006
20191106,-0.05,-0.69,0.15,0.006
20191107,0.38,-0.12,0.56,0.006
20191108,0.31,0.09,-0.36,0.006
20191111,-0.19,-0.02,-0.22,0.006
20191112,0.16,-0.11,-0.13,0.006
20191113,0.01,-0.22,-0.82,0.006
20191114,0.07,-0.12,-0.26,0.006
20191115,0.74,-0.21,-0.37,0.006
20191118,0.02,-0.36,-0.52,0.006
20191119,0.02,0.6,-1.01,0.006
20191120,-0.33,0,-0.44,0.006
20191121,-0.14,-0.33,0.15,0.006
20191122,0.24,0.05,0.25,0.006
20191125,0.92,1.3,-0.39,0.006
20191126,0.19,0.05,-0.81,0.006
20191127,0.44,0.23,-0.05,0.006
20191129,-0.42,-0.04,-0.33,0.006
20191202,-0.87,-0.23,0.43,0.007
20191203,-0.66,0.58,-0.81,0.007
20191204,0.6,0.12,0.19,0.007
20191205,0.13,-0.24,0.51,0.007
20191206,0.91,0.25,0.43,0.007
20191209,-0.33,0.36,0.12,0.007
20191210,-0.08,0.29,-0.08,0.007
20191211,0.28,-0.08,0.1,0.007
20191212,0.9,-0.1,1.15,0.007
20191213,-0.03,-0.31,-0.54,0.007
20191216,0.74,0.07,-0.07,0.007
20191217,0.1,0.42,0.68,0.007
20191218,-0.05,0.17,0.13,0.007
20191219,0.43,-0.02,-0.43,0.007
20191220,0.48,-0.3,-0.29,0.007
20191223,0.1,0.19,-0.28,0.007
20191224,0.01,0.38,-0.07,0.007
20191226,0.49,-0.53,0,0.007
20191227,-0.09,-0.52,-0.07,0.007
20191230,-0.57,0.17,0.58,0.007
20191231,0.28,-0.01,0.14,0.007
20200102,0.86,-0.85,-0.35,0.006
20200103,-0.67,0.38,0,0.006
20200106,0.36,-0.07,-0.5,0.006
20200107,-0.19,-0.02,-0.18,0.006
20200108,0.47,-0.06,-0.64,0.006
20200109,0.65,-0.63,-0.5,0.006
20200110,-0.34,-0.17,-0.36,0.006
20200113,0.73,-0.08,-0.1,0.006
20200114,-0.06,0.37,-0.12,0.006
20200115,0.16,0.45,-0.79,0.006
20200116,0.88,0.5,-0.11,0.006
20200117,0.28,-0.63,-0.12,0.006
20200121,-0.32,-0.5,-0.63,0.006
20200122,0.08,-0.28,0.01,0.006
20200123,0.08,-0.05,-0.16,0.006
20200124,-0.97,-0.41,-0.34,0.006
20200127,-1.56,0.38,-0.48,0.006
20200128,1.02,-0.14,-0.42,0.006
20200129,-0.1,-0.25,-0.95,0.006
20200130,0.34,-0.7,0.67,0.006
20200131,-1.74,-0.43,-0.34,0.006
20200203,0.84,0.62,-0.71,0.006
20200204,1.57,-0.03,-0.67,0.006
20200205,0.97,0.29,1.53,0.006
20200206,0.27,-0.46,-0.85,0.006
20200207,-0.55,-0.77,-0.09,0.006
20200210,0.73,-0.02,-0.89,0.006
20200211,0.28,0.04,1.11,0.006
20200212,0.66,0.16,-0.32,0.006
20200213,-0.09,0.17,-0.05,0.006
20200214,0.15,-0.38,-0.71,0.006
20200218,-0.19,0.14,-0.67,0.006
20200219,0.6,0.22,-0.06,0.006
20200220,-0.35,0.48,0.64,0.006
20200221,-1.12,-0.09,0.04,0.006
20200224,-3.38,0.19,-0.04,0.006
20200225,-3.09,-0.1,-0.72,0.006
20200226,-0.52,-0.41,-1.26,0.006
20200227,-4.22,0.73,0.14,0.006
20200228,-0.78,0.27,-0.78,0.006
20200302,4.31,-1.76,-0.44,0.006
20200303,-2.79,0.78,-0.62,0.006
20200304,4.02,-1.05,-1.08,0.006
20200305,-3.38,0.16,-1.3,0.006
20200306,-1.78,0.02,-1.35,0.006
20200309,-7.79,-0.47,-4.7,0.006
20200310,4.74,-2.45,0.74,0.006
20200311,-5.05,-0.85,-0.89,0.006
20200312,-9.63,-0.51,-1.3,0.006
20200313,8.96,-2.73,3.07,0.006
20200316,-12,-0.38,-0.79,0.006
20200317,5.87,0.73,-1.02,0.006
20200318,-5.56,-3.62,-4.72,0.006
20200319,1.31,5.6,0.89,0.006
20200320,-4.15,0.43,-0.98,0.006
20200323,-2.56,2.1,-3.38,0.006
20200324,9.34,-1.17,2.46,0.006
20200325,1.18,-0.63,1.94,0.006
20200326,6.02,-0.61,1.13,0.006
20200327,-3.47,-0.8,-0.72,0.006
20200330,3.16,-0.4,-2.18,0.006
20200331,-1.44,1.8,-0.43,0.006
,,,,
Copyright 2020 Kenneth R. French,,,,
